year,Name,Rank,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2011,"University of California, San Diego",32,,,,,,73.2,59.8,76.3,90.8,51.8,31.6
2011,"University of California, Santa Barbara",29,,,,,,75.0,56.6,68.0,98.8,89.8,64.3
2011,"University of California, Santa Cruz",68,,,,,,61.4,38.3,50.4,99.6,-,16.7
2011,University of Cambridge,6,,,,,,91.2,90.5,94.1,94.0,57.0,77.7
2011,University of Cape Town,107,,,,,,56.1,36.6,42.1,82.8,-,83.3
2011,University of Cincinnati – Uptown,190,,,,,,46.9,43.6,40.4,61.5,32.5,18.9
2011,University of Colorado Boulder,67,,,,,,61.6,46.4,58.1,83.4,-,31.7
2011,University of Copenhagen,177,,,,,,48.8,44.1,45.7,58.3,26.1,45.8
2011,University of Delaware,159,,,,,,50.4,38.4,51.9,61.3,100.0,16.8
2011,University of Dundee,140,,,,,,52.2,34.1,41.0,79.3,49.3,54.4
2011,University of East Anglia,174,,,,,,49.0,42.1,40.4,62.8,29.7,62.8
2011,University of Edinburgh,40,,,,,,69.2,59.9,61.9,86.8,42.2,67.3
2011,University of Exeter,184,,,,,,47.6,40.4,42.5,57.9,32.2,62.8
2011,University of Freiburg,132,,,,,,53.3,52.4,41.4,64.3,79.8,46.2
2011,University of Geneva,118,,,,,,55.0,46.6,49.7,63.1,32.7,95.7
2011,University of Glasgow,128,,,,,,54.2,45.6,50.3,65.1,61.0,55.1
2011,University of Groningen,170,,,,,,49.7,41.7,56.4,54.1,34.2,35.5
2011,University of Göttingen,43,,,,,,67.0,57.3,55.9,92.5,31.7,44.5
2011,University of Hawai’i at Mānoa,115,,,,,,55.2,38.3,47.6,81.0,-,34.2
2011,University of Helsinki,102,,,,,,56.6,49.0,51.4,75.4,30.2,24.2
2011,University of Hong Kong,21,,,,,,79.2,68.4,71.4,96.1,56.5,91.4
2011,University of Illinois Chicago,197,,,,,,46.4,57.8,46.8,34.7,-,51.8
2011,University of Illinois at Urbana-Champaign,33,,,,,,73.0,68.1,80.9,72.9,-,55.9
2011,University of Innsbruck,187,,,,,,47.2,37.9,34.8,60.2,35.0,99.5
2011,University of Iowa,132,,,,,,53.3,48.6,59.8,54.8,-,31.7
2011,University of Konstanz,186,,,,,,47.3,42.7,40.1,51.3,-,93.6
2011,University of Lausanne,136,,,,,,52.6,43.1,50.5,59.1,42.5,84.1
2011,University of Leeds,168,,,,,,49.8,46.2,48.0,55.6,38.3,50.0
2011,University of Liverpool,165,,,,,,50.0,40.8,47.8,59.6,40.6,59.8
2011,University of Manchester,87,,,,,,58.0,56.5,56.2,59.2,39.0,79.1
2011,"University of Maryland, College Park",98,,,,,,57.2,45.4,48.6,79.2,-,35.4
2011,University of Massachusetts,56,,,,,,64.7,61.3,72.6,67.9,53.9,22.6
2011,University of Melbourne,36,,,,,,71.0,58.7,69.2,83.3,47.7,88.0
2011,University of Michigan-Ann Arbor,15,,,,,,83.4,83.9,89.1,84.1,59.6,53.3
